,D28-CTL_values,D28-CTL_std,D14-JFD-CCl4_values,D14-JFD-CCl4_std,D28-JFD-CCl4_values,D28-JFD-CCl4_std,D28-CCl4_values,D28-CCl4_std,D1-CCl4_values,D1-CCl4_std,D14-CCl4_values,D14-CCl4_std,D1-JFD-CCl4_values,D1-JFD-CCl4_std,D14-JFH-CCl4_values,D14-JFH-CCl4_std,D1-JFH-CCl4_values,D1-JFH-CCl4_std,D1-CTL_values,D1-CTL_std,D28-JFH-CCl4_values,D28-JFH-CCl4_std,D14-CTL_values,D14-CTL_std
197980,94.0,38.64194612076364,47.4,47.810459106768675,58.6,49.094195176212025,12.8,9.495261976375375,33.6,20.57765778702717,95.0,38.54348193923325,10.8,10.186265262597475,13.8,7.626270385975047,4.6,3.4409301068170506,22.2,13.075167302944921,27.0,25.219040425836983,60.2,26.293725487271672
278753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313499,0.2,0.4000000000000001,0.0,0.0,8.0,16.0,17.0,32.01874451005224,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.2,0.4000000000000001
430194,166.2,166.54176653320332,122.8,121.7134339339746,187.2,135.51442727621293,150.2,61.40488579909582,29.8,16.82141492265142,382.0,198.55074918015293,7.8,5.5641710972974225,79.8,46.24889187861694,10.6,15.383107618423526,65.6,42.865370638780206,170.8,153.67159789629312,185.8,143.33513177166301
3761972,0.0,0.0,22.8,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,15.4,21.868699092538634,3.6,7.200000000000001,0.2,0.4000000000000001
463794,0.4,0.48989794855663565,2.2,3.4292856398964493,1.0,2.0,1.0,1.0954451150103321,12.8,14.82430436816514,1.2,0.7483314773547883,7.4,8.97997772825746,1.4,1.9595917942265424,7.4,7.08801805866774,12.4,10.707007051459339,3.2,1.7204650534085253,16.8,12.671227249165726
808052,0.0,0.0,21.4,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,19.764614845728715,2.0,4.0,0.0,0.0
418501,68.4,44.77767300787302,12.4,5.607138307550474,10.4,15.882065356873458,8.2,5.878775382679628,84.4,15.957443404254954,47.2,25.654629211898584,47.0,39.78441906073281,35.4,35.28512434440327,31.2,11.77115117564973,56.4,44.355833889128945,22.6,27.57245001808871,66.0,43.289721643826724
335267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001
331772,103.6,107.92701237410401,189.6,176.57361071235985,118.0,66.9298139845017,178.6,57.433787964925315,43.6,8.5463442476886,76.4,40.529495432339154,21.2,15.765785740013087,230.2,118.54518126014233,19.4,13.35065541462291,39.6,31.57594020769611,178.8,175.32073465508864,110.0,93.46657156438339
771177,1.0,0.8944271909999159,0.6,0.7999999999999999,0.0,0.0,1.0,0.6324555320336759,11.6,12.059850745345067,3.4,4.029888335921977,3.2,3.919183588453085,2.4,2.416609194718914,3.8,3.124099870362662,2.0,2.6076809620810595,1.2,1.9390719429665317,0.2,0.4
